Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble Imbalance,Bagging,0.9836125273124544,0.9815592713808452,0.979478655990729,0.980470281719531
Baseline Performa Ensemble Imbalance,AdaBoost,0.4832483612527312,0.3783586099967141,0.3619857088142662,0.3373978529553924
Baseline Performa Ensemble Imbalance,GradientBoosting,0.8075989317795581,0.8211885172572378,0.7581130765768033,0.7831350325174801
Baseline Performa Ensemble Imbalance,Voting (RF+ET+KNN),0.9827628065064336,0.980070436004981,0.9786595863201184,0.9793261559756888
Baseline Performa Ensemble Imbalance,Stacking (RF+ET+KNN),0.9838553046856032,0.981203963753282,0.9810030498278404,0.9810904605800732
Baseline Normalization Performa Ensemble Imbalance,Bagging,0.982884195193008,0.9807322078684788,0.9784425519390186,0.9795438007302988
Baseline Normalization Performa Ensemble Imbalance,AdaBoost,0.4832483612527312,0.3783586099967141,0.3619857088142662,0.3373978529553924
Baseline Normalization Performa Ensemble Imbalance,GradientBoosting,0.8075989317795581,0.8211885172572378,0.7581130765768033,0.7831350325174801
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+KNN),0.9823986404467104,0.9797818009744812,0.978309158548319,0.9790116089908932
Baseline Normalization Performa Ensemble Imbalance,Stacking (RF+ET+KNN),0.9844622481184754,0.9814590187363916,0.981525296990344,0.9814832901835244
PCA 7 Performa Ensemble Imbalance,Bagging,0.9496236950716194,0.9472333418748218,0.9381935915833052,0.9425866151097868
PCA 7 Performa Ensemble Imbalance,AdaBoost,0.4598203447438698,0.4499907211361029,0.3174447907921602,0.3034315851224228
PCA 7 Performa Ensemble Imbalance,GradientBoosting,0.6890021849963583,0.7221023193875238,0.6079572827633071,0.6411567932750465
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+KNN),0.9594561786841468,0.9555159455480948,0.9490842270431294,0.9521907539602982
PCA 7 Performa Ensemble Imbalance,Stacking (RF+ET+KNN),0.9587278465647,0.9528162215339196,0.9512429758744296,0.95194019992174
PCA 6 Performa Ensemble Imbalance,Bagging,0.949259529011896,0.946432895459469,0.938505746222873,0.9423493136352248
PCA 6 Performa Ensemble Imbalance,AdaBoost,0.4529011896091284,0.4136833697184386,0.3022389341437025,0.2749476148304676
PCA 6 Performa Ensemble Imbalance,GradientBoosting,0.6737072104879825,0.7093988293446285,0.5992644459103538,0.6312612332886008
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+KNN),0.9600631221170188,0.9564861517900888,0.9507836219102552,0.9535513673032202
PCA 6 Performa Ensemble Imbalance,Stacking (RF+ET+KNN),0.9603058994901676,0.95496638737186,0.9512638484270528,0.9530496231661372
PCA 5 Performa Ensemble Imbalance,Bagging,0.9368778829813061,0.9320454353306195,0.9236790145832865,0.9277293722159674
PCA 5 Performa Ensemble Imbalance,AdaBoost,0.4547220199077446,0.41965661119038106,0.29324066856412456,0.2701529030289784
PCA 5 Performa Ensemble Imbalance,GradientBoosting,0.6499150279193979,0.670406591313226,0.5691632064601425,0.5958709789525565
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+KNN),0.9463462005341102,0.9416595432089409,0.9344043463566927,0.9379454495752961
PCA 5 Performa Ensemble Imbalance,Stacking (RF+ET+KNN),0.945982034474387,0.9412995571374184,0.9349154473183601,0.9380073263495683
